raw_date_text,day_text,details_text,normalized_date_start,normalized_date_end,event_type
13.10.2025 & 14.10.2025,Monday & Tuesday,Course wish list registration by students,2025-10-13,2025-10-14,registration
29.10.2025,Wednesday,Mock - Course registration for Freshers,2025-10-29,2025-10-29,registration
01.11.2025,Saturday,Course registration by students (05.12.2025 Frida Commencement of Winter Semester 2025-26,2025-11-01,2025-11-01,registration
05.12.2025 to 07.12.2025,Friday to Sunday,Course add/drop option for students,2025-12-05,2025-12-07,add_drop
13.12.2025,Saturday,Last date for the payment of re-registration fees,2025-12-13,2025-12-13,registration
21.12.2025 to 04.01.2026,, Sunday to Sunday Winter Vacation for the students (15 Days),2025-12-21,2026-01-04,vacation
14.01.2026 to 18.01.2026,, Wednesday to Sunday Pongal Holidays,2026-01-14,2026-01-18,holiday
27.01.2026 to 02.02.2026,, Tuesday to Monday Continuous Assessment Test -1,2026-01-27,2026-02-02,exam
16.02.2026 to 18.02.2026,, Monday to Wednesday Course withdraw option for students,2026-02-16,2026-02-18,withdrawal
26.02.2026 to 01.03.2026,Thursday to Sunday,Riviera 2026 (04.03.2026 Wednesda Holi (Holiday),2026-02-26,2026-03-01,holiday
15.03.2026 to 23.03.2026,,_ Sunday to Monday Continuous Assessment Test — II,2026-03-15,2026-03-23,exam
19.03.2026,, Thursday Ramzan (Holiday),2026-03-19,2026-03-19,holiday
20.03.2026,Friday,Telugu New Year's Day,2026-03-20,2026-03-20,other
03.04.2026,Friday,Good Friday (No Instructional Day),2026-04-03,2026-04-03,instructional_day
10.04.2026,Friday,Last instructional day for laboratory classes,2026-04-10,2026-04-10,instructional_day
11.04.2026 to 17.04.2026,, Saturday to Friday Final assessment test for laboratory courses! components Tamil New Year's Day/ Dr. B. R. Ambedkar Birthday,2026-04-11,2026-04-17,exam
14.04.2026,Tuesday,(Holiday),2026-04-14,2026-04-14,holiday
17.04.2026,Friday,Last instructional day for theory classes Commencement of final assessment test for theory,2026-04-17,2026-04-17,semester_event
20.04.2026,Monday,courses / components,2026-04-20,2026-04-20,other
11.05.2026,Monday,Commencement of Summer Term 2025-26 (Tentative),2026-05-11,2026-05-11,semester_event
13.07.2026,Monday,Commencement of Fall Semester 2026-27 (Tentative),2026-07-13,2026-07-13,semester_event
